##ANSYS Fluent 24.1.0,,,
##,,,
##Generated on: 06:26:30,16-Sep-0024,,
##,,,
##Generated from case: FLTG.1-Setup-Output.cas.h5,,,
##,,,
[Name],,,
inlet_vel,,,
[Data],,,
x,y,z,u1
-0.005237015,0.003105579,-0.074906394,-0.00789633936976145
-0.005675185,0.002875869,-0.074906394,-0.0118957255174473
-0.005594587,0.003878398,-0.074906394,0
-0.005279499,0.003197081,-0.074906394,-0.00304434685641712
-0.00612211,0.00266284,-0.074906394,-0.00605753120770113
-0.005714571,0.002972098,-0.074906394,-0.00836415310431731
-0.005558486,0.003783568,-0.074906394,0
-0.006064977,0.003702061,-0.074906394,0
-0.005330301,0.003306536,-0.074906394,0
-0.006580196,0.00247437,-0.074906394,-0.00356756018381209
-0.006156232,0.002761104,-0.074906394,-0.00494791772227423
-0.005761615,0.003087103,-0.074906394,-0.00461859019249236
-0.005514883,0.003669074,-0.074906394,0
-0.00603333,0.003603,-0.074906394,0
-0.00654488,0.003553416,-0.074906394,0
-0.005329678,0.003447304,-0.074906394,0
-0.005501305,0.00351839,-0.074906394,0
-0.007050554,0.00231781,-0.074906394,-0.00640106788441087
-0.006608326,0.002574536,-0.074906394,-0.00399075962950572
-0.006196947,0.002878456,-0.074906394,-0.00367981366319457
-0.005791445,0.003245429,-0.074906394,-0.000329037627328304
-0.005995091,0.003483347,-0.074906394,0
-0.006519183,0.003452644,-0.074906394,0
-0.007032951,0.003434628,-0.074906394,0
-0.007532655,0.002200614,-0.074906394,-0.0104777181707624
-0.005976557,0.003323387,-0.074906394,0
-0.007072111,0.002419601,-0.074906394,-0.00641129241792521
-0.006641861,0.002694084,-0.074906394,-0.00383835091639116
-0.006235122,0.003047391,-0.074906394,-0.00199104400804108
-0.006488121,0.003330881,-0.074906394,0
-0.007013604,0.003332428,-0.074906394,0
-0.007527845,0.003349596,-0.074906394,-0.000199623747430111
-0.008023618,0.002129277,-0.074906394,-0.0122616674648175
-0.007547208,0.002303609,-0.074906394,-0.0105241750463447
-0.006461588,0.003155255,-0.074906394,-0.000821493096700375
-0.007097794,0.002541028,-0.074906394,-0.00636248209827075
-0.006688492,0.002877034,-0.074906394,-0.00247848616674557
-0.006990208,0.003208898,-0.074906394,-0.000444937413803146
-0.007515248,0.003246324,-0.074906394,-0.00041281935752408
-0.008027535,0.003301936,-0.074906394,-0.000851552555116681
-0.008519012,0.002108277,-0.074906394,-0.0132141651598529
-0.008030663,0.00223297,-0.074906394,-0.0131076320798999
-0.007564539,0.002426427,-0.074906394,-0.0106473980345954
-0.006956477,0.003015295,-0.074906394,-0.0021104854866114
-0.00715139,0.00274002,-0.074906394,-0.00546152530492816
-0.007500012,0.003121462,-0.074906394,-0.00235468980741828
-0.00802196,0.003198043,-0.074906394,-0.00242209912598809
-0.008529539,0.003292443,-0.074906394,-0.00192350148647878
-0.009014025,0.002138737,-0.074906394,-0.0202630016373696
-0.008518091,0.002212106,-0.074906394,-0.0148307307791906
-0.008039055,0.00235658,-0.074906394,-0.0141473524861566
-0.00762277,0.002642433,-0.074906394,-0.0113994541769529
-0.007460942,0.002908921,-0.074906394,-0.00538836564504676
-0.009504222,0.002217737,-0.074906394,-0.0305973296444068
-0.008015217,0.003072406,-0.074906394,-0.00555381244086516
-0.00853103,0.003188431,-0.074906394,-0.00428530470467884
-0.009031357,0.003319175,-0.074906394,-0.00221635174631504
