##ANSYS Fluent 24.1.0,,,
##,,,
##Generated on: 06:26:30,16-Sep-0024,,
##,,,
##Generated from case: FLTG.1-Setup-Output.cas.h5,,,
##,,,
[Name],,,
inlet_vel,,,
[Data],,,
x,y,z,u1
-0.005237015,0.003105579,-0.074906394,0.00128944854153449
-0.005675185,0.002875869,-0.074906394,0.00342975877468286
-0.005594587,0.003878398,-0.074906394,0
-0.005279499,0.003197081,-0.074906394,0.000544319875872538
-0.00612211,0.00266284,-0.074906394,0.00149957569033849
-0.005714571,0.002972098,-0.074906394,0.00240109841988768
-0.005558486,0.003783568,-0.074906394,0
-0.006064977,0.003702061,-0.074906394,0
-0.005330301,0.003306536,-0.074906394,0
-0.006580196,0.00247437,-0.074906394,0.00119329805269959
-0.006156232,0.002761104,-0.074906394,0.0012035600118488
-0.005761615,0.003087103,-0.074906394,0.00131791810193376
-0.005514883,0.003669074,-0.074906394,0
-0.00603333,0.003603,-0.074906394,0
-0.00654488,0.003553416,-0.074906394,0
-0.005329678,0.003447304,-0.074906394,0
-0.005501305,0.00351839,-0.074906394,0
-0.007050554,0.00231781,-0.074906394,-0.002046230309397
-0.006608326,0.002574536,-0.074906394,0.000846330207737572
-0.006196947,0.002878456,-0.074906394,0.000875227586745136
-0.005791445,0.003245429,-0.074906394,9.34808565821589e-05
-0.005995091,0.003483347,-0.074906394,0
-0.006519183,0.003452644,-0.074906394,0
-0.007032951,0.003434628,-0.074906394,0
-0.007532655,0.002200614,-0.074906394,-0.00507756558460777
-0.005976557,0.003323387,-0.074906394,0
-0.007072111,0.002419601,-0.074906394,-0.00151522596983282
-0.006641861,0.002694084,-0.074906394,0.000581601109496374
-0.006235122,0.003047391,-0.074906394,0.000462933733551386
-0.006488121,0.003330881,-0.074906394,0
-0.007013604,0.003332428,-0.074906394,0
-0.007527845,0.003349596,-0.074906394,-2.0869388041756e-05
-0.008023618,0.002129277,-0.074906394,-0.00422883220184801
-0.007547208,0.002303609,-0.074906394,-0.00392256702335996
-0.006461588,0.003155255,-0.074906394,0.000159393012393344
-0.007097794,0.002541028,-0.074906394,-0.00076367223944737
-0.006688492,0.002877034,-0.074906394,0.000342132305182399
-0.006990208,0.003208898,-0.074906394,1.26081962854641e-05
-0.007515248,0.003246324,-0.074906394,-2.62669770972844e-05
-0.008027535,0.003301936,-0.074906394,-8.90243818155984e-05
-0.008519012,0.002108277,-0.074906394,-0.000879459891322445
-0.008030663,0.00223297,-0.074906394,-0.0032958637070579
-0.007564539,0.002426427,-0.074906394,-0.00255976984249467
-0.006956477,0.003015295,-0.074906394,7.89692083831904e-05
-0.00715139,0.00274002,-0.074906394,-4.0547067999604e-05
-0.007500012,0.003121462,-0.074906394,-5.89284818273135e-05
-0.00802196,0.003198043,-0.074906394,-6.48194984125848e-05
-0.008529539,0.003292443,-0.074906394,-0.000201089797366289
-0.009014025,0.002138737,-0.074906394,0.00219104094755555
-0.008518091,0.002212106,-0.074906394,-0.000450616457517633
-0.008039055,0.00235658,-0.074906394,-0.00220064160162885
-0.00762277,0.002642433,-0.074906394,-0.000191948671076301
-0.007460942,0.002908921,-0.074906394,-0.000122373611240032
-0.009504222,0.002217737,-0.074906394,0.00374654585885362
-0.008015217,0.003072406,-0.074906394,-6.63446970541021e-06
-0.00853103,0.003188431,-0.074906394,-3.20503203555365e-05
-0.009031357,0.003319175,-0.074906394,-0.000231705421956702
-0.009005189,0.002242132,-0.074906394,0.00202460562793234
-0.008517004,0.002335861,-0.074906394,6.32799215633734e-05
-0.008056319,0.002558512,-0.074906394,-0.000439805330313473
-0.007977989,0.00283708,-0.074906394,4.44940760702384e-05
-0.009985958,0.002339678,-0.074906394,0.00210807997541198
-0.009488071,0.002320227,-0.074906394,0.00253087549280629
-0.008532837,0.003062637,-0.074906394,0.000294034288209239
-0.009039904,0.00321552,-0.074906394,-0.000128534296854652
-0.009530475,0.003380301,-0.074906394,-0.000165931068635746
-0.008994679,0.002365403,-0.074906394,0.00185218181941498
-0.008515276,0.002545436,-0.074906394,0.000940379818313041
-0.008581042,0.002820782,-0.074906394,0.000934885999526783
-0.010457029,0.002497993,-0.074906394,-0.00189285780341434
-0.00996314,0.0024409,-0.074906394,-7.01902243089728e-05
-0.00946884,0.002442482,-0.074906394,0.00118517083405884
-0.009050245,0.003090154,-0.074906394,0.000251537686046255
-0.00954604,0.003277469,-0.074906394,-0.000198729083828948
-0.010024237,0.003475231,-0.074906394,-5.56956322532247e-05
-0.008941409,0.002597024,-0.074906394,0.00157172766212545
-0.009089885,0.002860947,-0.074906394,0.00095739625965134
-0.010917083,0.00268583,-0.074906394,-0.00221578855485588
-0.010428093,0.002597692,-0.074906394,-0.00468400639667412
-0.009935946,0.002561708,-0.074906394,-0.00255191727397418
